Métier,Entreprise,Poste,Niveau,Lieu,Salaire,Expérience,Compétences,Description
Data Scientist,ARTEFACT,Data Scientist (H/F),Senior,75 - PARIS 09,Annuel de 48000.0 Euros à 71000.0 Euros sur 12.0 mois,Débutant accepté,"Programmation en Python, excel, rest, machine learning, Conduire des travaux d'études et de recherche, go, Adapter les outils de traitement statistique de données, Mettre en place des outils d'aide à la décision, Définir et faire évoluer des procédés de traitement de l'information, Mastère spécialisé expert en sciences des données, agile, ia, git, api, r, Structurer, synthétiser des informations","Qui nous sommes Artefact est une nouvelle génération de prestataire de services en data, spécialisé en conseil en données, dédié à transformer les données en impact business à travers toute la chaîne de valeur des organisations. Nous sommes fiers d'afficher une croissance fulgurante.  Notre large gamme de solutions basées sur les données, en conseil et en marketing digital, est conçue pour répondre aux besoins spécifiques de nos clients, avec une approche centrée sur le business et des résultats"
Data Scientist,Non spécifié,"Data Scientist - Vision, NLP et Propriété Intellectuelle (H/F)",Stage,64 - PAU,Annuel de 32000.0 Euros à 34000.0 Euros sur 12.0 mois,1 An(s),"json, python, kubernetes, Adapter les outils de traitement statistique de données, pipeline, pandas, postgresql, Définir et faire évoluer des procédés de traitement de l'information, ia, docker, tensorflow, sql, r, nlp, api, scikit-learn, go, aws, pytorch, git, numpy","Startup issue du domaine de la propriété intellectuelle, développant des solutions d'intelligence artificielle pour les experts de la protection des innovations. Nos outils exploitent la vision, le NLP et l'apprentissage explicable pour assister les professionnels du droit : détection de similarités, génération d'arguments, rédaction de brevets et analyse de portefeuilles. Nous opérons à l'interface entre recherche académique et ingénierie logicielle (Python, PyTorch, Docker, PostgreSQL, OVHClou"
Data Scientist,Stand CELAD,AQUITEC / Data scientist(H/F),Non spécifié,33 - BORDEAUX,Non spécifié,2 An(s),"rest, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, r, statistiques","Venez nous rencontrer au salon Aquitec le Jeudi 16 Octobre de 9h à 17h au stade Matmut Atlantique  Voici un aperçu détaillé de vos missions  :  - Participer à l'amélioration d'outils de simulation et de modélisation de processus biologiques  - Concevoir et exécuter des analyses statistiques et des jeux de simulations de données réelles  - Collaborer étroitement avec les équipes de biologistes et data scientists pour comparer, interpréter et affiner les modèles existants  - Identifier les écarts "
Data Scientist,LITTLEBIGCODE,Data scientist (H/F),Alternance,75 - PARIS 17,Non spécifié,2 An(s),"nlp, machine learning, python, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, deep learning, ia, r","Rejoins LittleBigCode en tant que Data Scientist ! Chez LittleBigCode, notre mission est simple : transformer les données en valeur pour nos clients. Nous accompagnons des entreprises ambitieuses dans leurs projets data & IA, en concevant et déployant des solutions innovantes qui font la différence.  Ton rôle chez nous En tant que Data Scientist, tu seras amené(e) à : Accompagner nos clients dans la mise en œuvre de solutions autour de la gestion et de la transformation de leurs données. Concevo"
Data Scientist,PANDORE ASSOCIATES,Data Scientist Junior (H/F),Stage,75 - PARIS 16,Annuel de 40000.0 Euros sur 12.0 mois,Débutant accepté,"Paramétrer un logiciel, un outil, un système numérique, Application des méthodes de machine learning dans BI, excel, Déterminer l'opportunité de l'intégration d'outils d'intelligence artificielle et de data science dans le modèle d'affaires, Analyser et traiter l'information à des fins d'anticipation, python, Concevoir des modèles théoriques (calcul, simulation, modélisation), Adapter les outils de traitement statistique de données, matplotlib, Analyse de données expérimentales, Mobiliser des données massives pour éclairer les prises de décisions, java, Réaliser des enquêtes statistiques selon les résultats issus des solutions de Data Science, Gérer des données massives, pandas, Business Intelligence (BI) - Informatique décisionnelle, Big data Analytics, Modélisation et simulation, Définir et faire évoluer des procédés de traitement de l'information, Mastère spécialisé expert en sciences des données, Modélisation statistique, Logiciels de gestion de base de données, Lire et interpréter des données et documents techniques, au besoin en anglais, Réaliser une analyse ou modélisation statistique de données, spark, statistiques, Programmation en Python, tableau, ia, Définir les solutions de stockage et de structuration des données, tensorflow, Procéder aux phases de tests et de recettes des applications développées, r, sql, c#, machine learning, Assurer le suivi de la qualité des données, Réaliser un modèle de prévision, scikit-learn, Conduire des travaux d'études et de recherche, Analyser des données pour soutenir des décisions stratégiques, Exploiter des solutions de Data Science ou d'Intelligence Artificielle, Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement, go, pytorch, Data engineer, Langages de programmation informatique, Utiliser des logiciels spécifiques","En tant que Data Scientist Junior au sein de l'équipe Technique de Pandore Associates, vous serez impliqué dans l'analyse et l'exploitation des données pour répondre à des problématiques métiers variées. Sous la supervision du CTO et du Managing Partner en charge des sujets technologiques, vous participerez à des projets innovants, incluant une forte dimension de recherche et développement (R&D), avec pour objectif de développer des solutions technologiques de pointe. Ce poste vous permettra de "
Data Scientist,SEPTEO,Data scientist (H/F),Senior,75 - Paris (Dept.),Mensuel de 40000.0 Euros à 50000.0 Euros sur 12.0 mois,5 An(s),"nlp, api, python, Adapter les outils de traitement statistique de données, pytorch, mlflow, Définir et faire évoluer des procédés de traitement de l'information, agile, ia, scala, docker, pipeline, r","Septeo, éditeur de logiciels de référence en Europe, est un groupe qui grandit vite. Qui se transforme. En 10 ans, nous sommes devenus un des leaders européens de la tech, une référence dans l'édition de logiciels. Cette évolution, c'est le fruit d'un collectif. Le résultat d'un travail d'équipes déterminées, audacieuses et engagées. Des équipes qui travaillent main dans la main, dans la simplicité, la convivialité & la confiance.  Animés par des valeurs communes, chez Septeo, on est ensemble, o"
Data Scientist,CLEEVEN SE,Data Scientist (F/H) (H/F),Senior,06 - BIOT,Mensuel de 30000.0 Euros à 40000.0 Euros sur 12.0 mois,6 Mois,"excel, rest, machine learning, python, Analyser des données pour soutenir des décisions stratégiques, go, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, big data, ia, r, statistiques","Data Scientist (F/H)  L'entreprise  QUI SOMMES NOUS ? CLEEVEN, cabinet de conseil en ingénierie à dimension internationale, s'est construit autour de 2 éléments extrêmement forts :  Notre MISSION : Augmenter le degré de conscience de soi et de ceux qui nous entourent. Notre CONVICTION : L'excellence des Ingénieurs européens doit permettre à l'Europe de développer sa position de leader en terme d'Innovation Technologique, et de R & D. En tant qu'ingénieurs, nous participons activement aux côtés d"
Data Scientist,SEGMENT ELITE,Lead Data Scientist AI (H/F),Senior,75 - PARIS 09,Annuel de 50000.0 Euros à 65000.0 Euros sur 12.0 mois,7 An(s),"python, kubernetes, Adapter les outils de traitement statistique de données, mlflow, Définir et faire évoluer des procédés de traitement de l'information, spark, rest, docker, tensorflow, r, ci/cd, azure, machine learning, scikit-learn, aws, pytorch, deep learning, git, gcp, api","Nous recherchons un Lead Data Scientist AI pour renforcer notre équipe et piloter un projet stratégique  Vous serez responsable de la conception, du développement et du déploiement de modèles d'intelligence artificielle à grande échelle.  Localisation : France Expérience : minimum 7 ans  Compétences clés : Expertise en Machine Learning, Deep Learning et MLOps Maîtrise de Python, TensorFlow, PyTorch, Scikit-Learn Expérience en cloud computing (AWS, GCP, Azure) Connaissance en Data Engineering et "
Data Scientist,AMILTONE,Data scientist (H/F),Non spécifié,69 - VILLEURBANNE,Annuel de 28000.0 Euros à 45000.0 Euros sur 12.0 mois,4 An(s),"pandas, machine learning, python, go, Rédiger les volets IA et Data Science d'une proposition commerciale de développement de solution, agile, r, git, numpy, sql","À propos Qui sommes-nous ?  Nous sommes passionnés par les nouvelles technologies, et vous ?   Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.  Pourquoi choisir Amiltone ?    Amiltone, plus qu'une entreprise, un état d'esprit !  Notre objectif ? Votre épanouissement professionnel !  Nous avons à cœur de :  Vous accompa"
Data Scientist,Non spécifié,Data Scientist H/F (H/F),Senior,59 - ROUBAIX,Mensuel de 3000.0 Euros à 3600.0 Euros sur 12.0 mois,3 An(s),"Application des méthodes de machine learning dans BI, Déterminer l'opportunité de l'intégration d'outils d'intelligence artificielle et de data science dans le modèle d'affaires, Analyser et traiter l'information à des fins d'anticipation, python, Concevoir des modèles théoriques (calcul, simulation, modélisation), Adapter les outils de traitement statistique de données, pipeline, Mobiliser des données massives pour éclairer les prises de décisions, Réaliser des enquêtes statistiques selon les résultats issus des solutions de Data Science, Gérer des données massives, databricks, Méthodes de prospective, Business Intelligence (BI) - Informatique décisionnelle, Big data Analytics, Modélisation et simulation, Définir et faire évoluer des procédés de traitement de l'information, Mastère spécialisé expert en sciences des données, Modélisation statistique, agile, Lire et interpréter des données et documents techniques, au besoin en anglais, Langage C++, Réaliser une analyse ou modélisation statistique de données, spark, Système de Gestion de Bases de Données (SGBD), Programmation en Python, Traduire les demandes de l'entreprise en solutions techniques, DRT modélisation calcul scientifique statistique et informatique, tableau, ia, snowflake, Procéder aux phases de tests et de recettes des applications développées, r, azure, nlp, Etablir des prévisions, des évaluations, des recommandations, des perspectives, Réaliser un modèle de prévision, Analyser des données pour soutenir des décisions stratégiques, Exploiter des solutions de Data Science ou d'Intelligence Artificielle, Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement, Mettre en place des outils d'aide à la décision, Faire remonter les besoins clients en interne pour adapter l'offre aux enjeux émergents, Langages de programmation informatique, Structurer, synthétiser des informations","Rattaché(e) à la Direction Data et sous la Responsabilité du Chief Data Officer, vous travaillerez en mode projet avec les experts métiers des sujets concernés (prévisions de ventes, descriptions des produits, comptes d'exploitation, .) et serez responsable de la roadmap produit et des livrables. Les projets envisagés couvriront un spectre large de thématiques liées à l'IA (NLP, Computer Vision, systèmes prédictifs, .). Vous aurez accès aux dernières technologies (Azure Cloud, Databricks, Snowfl"
